queue,n_threads,throughput_mops_mean,throughput_mops_std,throughput_mops_min,throughput_mops_max,e2e_p50_mean,e2e_p50_std,e2e_p50_min,e2e_p50_max,e2e_mean_mean,e2e_mean_std,e2e_mean_min,e2e_mean_max,e2e_p99_mean,e2e_p99_std,e2e_p99_min,e2e_p99_max,e2e_p999_mean,e2e_p999_std,e2e_p999_min,e2e_p999_max,enq_p50_mean,enq_p50_std,enq_p50_min,enq_p50_max,deq_p50_mean,deq_p50_std,deq_p50_min,deq_p50_max,n_trials
ValoisQueue,1,8.798782163255092,0.018010007094846077,8.766803039158388,8.80828896692992,204.0,0.0,204.0,204.0,242.259888,0.17036538107842625,241.97137,242.41638,901.2,6.6105975524153555,890.0,907.0,968.2010000000039,10.256485777301249,952.0010000000038,978.0010000000038,57.4,0.5477225575051664,57.0,58.0,34.0,0.0,34.0,34.0,5
ValoisQueue,2,4.101688924935379,0.05907020433047559,4.016169264800473,4.1666214559303825,1011.2,25.20317440323738,979.0,1049.0,953.830146,19.429064526666778,937.67636,984.53304,2154.8019999999988,41.14001725813735,2115.0,2215.0099999999948,2686.203600000014,61.24036826555424,2634.0040000000154,2762.0040000000154,399.8,6.648308055437863,394.0,410.0,426.2,15.817711591756888,404.0,442.0,5
ValoisQueue,4,3.219533546292805,0.10073797261513,3.0996238477309785,3.3291141435333693,2204.4,98.52563118295667,2085.0,2334.0,2463.294878,83.91947138076569,2369.4439,2567.76335,6404.213999999993,88.47857441210883,6281.0,6481.029999999984,9084.206200000024,203.28881288501032,8824.002000000008,9380.0,1092.4,58.71371219740752,1030.0,1156.0,884.4,37.70676331906518,838.0,939.0,5
ValoisQueue,8,2.7957354047098955,0.1105236013398581,2.611383319109001,2.9029990096539837,4606.0,255.8339305096179,4373.0,5041.0,5638.77725,291.76053505097906,5380.78876,6134.23881,18747.027999999984,613.2358322619446,18029.01999999999,19700.029999999984,27166.64020000015,513.4890683011017,26722.017000000065,27977.03400000013,2787.8,167.5222373298542,2630.0,3067.0,1348.2,76.27712632237795,1278.0,1477.0,5
ValoisQueue,16,2.0343285879937754,0.10167691023516848,1.9146819708260308,2.1429109547951817,10893.1,475.86190223635276,10401.0,11497.5,14785.202280000001,579.4763302198324,14229.56557,15646.82988,61660.26199999986,1888.8786649412182,59282.259999999864,64571.08999999995,97690.35760000137,2360.7108271257457,94839.25500000098,100559.79100000304,7889.6,352.37753191711874,7386.0,8205.0,2310.8,175.70771183986204,2112.0,2512.0,5
ValoisQueue,32,1.3707963133203083,0.02200649608818531,1.3390662105472386,1.396673443927562,28658.0,682.9251423106341,27945.5,29589.5,43356.4346,804.0688132150865,42593.28141,44604.76904,214861.94799999963,2767.0842176051992,211176.23999999987,218464.49999999974,350338.108000005,4265.711932804639,343619.8410000109,355328.86700000335,22686.8,615.5003655563497,21818.0,23391.0,4588.3,108.16284019939559,4491.0,4759.0,5
ValoisQueue,48,0.9439350962900122,0.050978491971503545,0.897794091860234,1.0143327328342675,62828.3,3179.319317872931,59508.0,66674.5,97455.878566,4998.729477175528,91207.43427,102667.18077,507360.9219999995,35730.43319427233,456853.66999999963,533452.3899999987,855228.8812000065,89519.02061602169,747100.520000002,972576.7110000065,53007.8,2356.9039702541963,50504.0,56069.5,7950.7,561.0721433113572,7332.0,8477.5,5
ValoisQueue,64,0.7417126724446372,0.03495687680553316,0.7041349592005134,0.7869747481527101,105655.4,6746.206863860609,96494.5,112841.0,168615.401226,9263.067623494795,157226.66201,179654.50172,883358.9579999994,45703.46152284541,829557.6699999997,942774.01,1463949.578000013,106317.06334265295,1352292.4730000056,1612987.1120000118,90552.1,7057.387294530464,80356.0,97861.0,12319.7,725.1023720827287,11422.5,13239.0,5
ValoisQueue,96,1.2078670718331055,0.019224686381724015,1.1931431554286458,1.2377514182568334,91293.8,2551.735502555074,87913.5,94771.0,164508.168864,1913.231596316568,161567.55082,166350.99636,788352.5119999994,15630.461237074283,760924.3099999988,799978.4999999998,1269340.6912000119,53455.60019400282,1211043.4020000016,1340137.8020000032,57222.2,1410.375774394895,55994.0,58826.0,9438.8,406.25524611997326,8880.0,9782.0,5
ValoisQueue,144,0.9953936587831624,0.028131350886893346,0.9690815279728353,1.03099307165554,167224.2,4958.118816648102,160604.0,173264.0,246642.49943647083,5335.532991515277,239923.61330926282,252122.1771376707,1251400.8399999987,32283.406583382828,1206069.7999999989,1289469.7999999998,2069960.6920000159,46326.74361016305,1990797.3000000368,2110541.9400000134,137873.0,3261.2339689142223,133109.0,141932.0,10735.8,512.2906401643505,10137.0,11354.0,5
ValoisQueue,192,1.0904449251874113,0.013678759381165221,1.070599633375386,1.1045067615085147,222244.9,4928.744114883629,214383.0,227675.0,334432.877136,3165.309899625898,329286.66525,337764.93071,1591004.4019999988,17570.50800582508,1572979.2299999993,1611669.0199999989,2713128.3144000033,78964.81500505644,2611254.783000007,2801342.6360000023,179179.4,4008.3718390388885,173195.5,184466.5,13561.9,278.36248849297215,13249.0,13926.5,5
PLJQueue,1,4.982968810272031,0.0016563377234097038,4.980996977676313,4.985038393882943,317.0,0.0,317.0,317.0,319.87115,0.5617971334476586,319.07246,320.44219,349.8,0.4472135954999611,349.0,350.0,379.2,1.3038404810405253,377.0,380.0,105.0,0.0,105.0,105.0,99.0,0.0,99.0,99.0,5
PLJQueue,2,3.4788482322201597,0.08731090192490401,3.3680665193137567,3.579852144648401,1138.4,33.974990802059125,1101.0,1180.0,1116.834606,24.374662560021786,1084.77356,1142.00457,2501.603999999998,65.59599095981388,2426.0,2603.0,3045.2020000000075,70.61512591859638,3000.007000000027,3169.0,337.0,8.366600265340761,327.0,350.0,568.8,22.43211982849592,550.0,597.0,5
PLJQueue,4,2.7946700719119395,0.031019998799472846,2.757907437731621,2.840656901908566,2627.0,44.637428241331286,2568.0,2693.0,2897.815634,37.24185633369845,2835.64927,2931.76125,7400.613999999992,94.07315812706634,7299.0199999999895,7534.0199999999895,10847.014000000054,305.45400409475377,10521.00800000003,11185.030000000115,993.0,25.465663156493687,967.0,1028.0,1029.1,32.921117842503456,990.0,1077.0,5
PLJQueue,8,2.1391577647810927,0.09991895562916425,1.9765032877382163,2.2274815536683836,6452.4,244.88527926357685,6187.0,6817.0,7553.55499,386.57210624754816,7219.11825,8188.73963,22320.233999999982,1572.3862963756783,21131.109999999942,25010.029999999984,33111.865000000245,2369.5446908893873,31735.01300000005,37304.027000000104,3136.0,384.82983252341546,2823.0,3801.0,2054.3,74.42748148365624,1985.0,2146.0,5
